product_id,handle,title,status,vendor,collections,variant_ids,skus
4417254916192,waterproof-dc12v-ip67-25w-led-driver-power-supply-transformer,Transformer 12V DC LED Driver Power Supply~3360,ACTIVE,LEDSone,recommended-products-seguno|dc-12v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|best-offers-products|all-transformers|all_products|power-supply|under-25|all-products-1|best-deals|modern-home-lights|ninc-products|top-products|power-converter|for-shopify-performance-tracking|summer-bank-holiday|ip67-waterproof-led-drivers|led-drivers-led-modules,31497524183136,12IP6724
4417254981728,dc12v-36w-ip67-led-driver-power-supply-transformer-waterproof-for-led-strip,Slim Waterproof LED Driver IP67 12V 36W Aluminium~3359,ACTIVE,LEDSone,recommended-products-seguno|dc-12v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|avada-email-marketing-best-sellers|dc-12v-driver|best-offers-products|all-transformers|bselltm|led-modules-transformers|all_products|power-supply|under-25|all-products-1|transformers-led-bulbs-collection|top-products|for-shopify-performance-tracking|ip67-waterproof-led-drivers|lighting-accessories|led-drivers-led-modules,31497524248672,12IP6736
4417255178336,waterproof-dc12v-ip67-45w-led-driver-power-supply-transformer,45W LED Driver 12V DC Transformer IP67~3357,ACTIVE,LEDSone,recommended-products-seguno|dc-12v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|best-offers-products|all-transformers|best-products-24-s|led-modules-transformers|all_products|power-supply|under-25|all-products-1|most-popular-trending-products|best-deals|glow-mode-on-1|luminous-deals|home-lighting-sale-uk|top-products|for-shopify-performance-tracking|summer-bank-holiday|premium-lighting|ip67-waterproof-led-drivers|best-sellers|top-sellers-best-industrial-lighting|industrial-lighting|energy-efficient-lighting-collection-modern|led-drivers-led-modules,31497524412512,12IP6745
4417255243872,waterproof-dc12v-ip67-50w-led-driver-power-supply-transformer,IP67 Waterproof 12v DC Power Supply~3356,ACTIVE,LEDSone,recommended-products-seguno|dc-12v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|50-orders|top-selling-transformers|best-offers-products|all-transformers|best-products-24-s|led-modules-transformers|all_products|power-supply|under-25|all-products-1|top-products|for-shopify-performance-tracking|ip67-waterproof-led-drivers|led-drivers-led-modules|commercial-lighting-for-restaurants-uk,31497524478048,12IP6750
4417255276640,waterproof-dc12v-ip67-5a-60w-led-driver-power-supply-transformer,IP67 Waterproof DC 12V 60W LED Driver LED Power Supply Transformer ~3355,ACTIVE,LEDSone,recommended-products-seguno|dc-12v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|top-sell-2021|50-orders|top-selling-transformers|best-offers-products|all-transformers|led-modules-transformers|all_products|power-supply|under-25|all-products-1|most-popular-trending-products|top-picks|best-deals|glow-mode-on-1|modern-classic-home|led-driver-transformer|top-products|for-shopify-performance-tracking|premium-lighting|ip67-waterproof-led-drivers|best-sellers|industrial-lighting|energy-efficient-lighting-collection-modern|premium-lighting-products|led-drivers-led-modules,31497524543584,12IP6760
4417255506016,waterproof-dc12v-ip67-300w-led-driver-power-supply-transformer,12V 300W IP67 Waterproof LED Driver Constant Voltage ~3354,ACTIVE,LEDSone,led-modules-transformers|power-supply|all-products-1|most-popular-trending-products|for-shopify-performance-tracking|ip67-waterproof-led-drivers|led-drivers-led-modules,31497524838496,12IP67300
4417255538784,led-driver-250w-waterproof-transformer,DC 12V 250W IP67 Waterproof LED Driver Transformer Power Supply,ACTIVE,LEDSone,recommended-products-seguno|constant-voltage-transformer|dc-12v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|best-offers-products|all-transformers|best-products-24-s|led-modules-transformers|all_products|bsell-06|power-supply|all-products-1|most-popular-trending-products|best-deals|glow-mode-on-1|luminous-deals|home-lighting-sale-uk|luminous-deals-glow-up-your-savings|top-products|for-shopify-performance-tracking|premium-lighting|ip67-waterproof-led-drivers|best-sellers|top-sellers-best-industrial-lighting|industrial-lighting|energy-efficient-lighting-collection-modern|led-drivers-led-modules,31497524871264,12IP67250
4417255604320,dc12v-400w-ip20-universal-regulated-switching-led-transformer,IP20 400W 33A  DC12V Constant Voltage LED Transformer~3352,ACTIVE,LEDSone,transfo|power-supply|ip-20-transformers|all-products-1|best-deals|modern-home-lights|lights-parts|power-converter|for-shopify-performance-tracking|ip20-led-power-supplies|ip20-led-power-supplies-1|led-drivers-led-modules,31497524936800,12IP20400
4417255669856,dc12v-360w-ip20-universal-regulated-switching-led-transformer,Universal 12V 30A 360W Switching Power Supply 3 Way Regulated DC ~3351,ACTIVE,LEDSone,transfo|power-supply|ip-20-transformers|all-products-1|top-picks|for-shopify-performance-tracking|ip20-led-power-supplies|ip20-led-power-supplies-1|led-drivers-led-modules,31497525002336,12IP20360
4417255768160,dc12v-480w-ip20-universal-regulated-switching-led-transformer,LED Transformer 12V 480W Enclosed Switching Power Supply AC to DC~3350,ACTIVE,LEDSone,recommended-products-seguno|dc-12v-transformer|led-transformers|new-arrivals|new-collection|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|avada-email-marketing-best-sellers|dc-12v-driver|best-offers-products|vendor-products-cable-batch-3|all_products|power-supply|ip-20-transformers|all-products-1|top-picks|value-light|top-products|for-shopify-performance-tracking|ip20-led-power-supplies|ip20-led-power-supplies-1|electrical-lighting,31497525067872,12IP20480
