sku,stock
CKCP383835,8
CKCP38384,6
CKCP38385,8
CKCP40601,7
CKCP40602,9
CKCP40603,14
CKCP40604,15
CKCP40605,0
CKDCF331BM,0
CKDYZH00210LU,54
CKDZH01510SB,0
CKDZH01520SB,0
CKDZH01910KS,48
CKDZH01920GD,0
CKDZH01920KS,0
CKDZH03610SB,46
CKDZH03620SB,64
CKDZH040BM,25
CKDZH050BM,13
CKDZH174810SB,0
CKDZH174820SB,58
CKDZH181910SB,0
CKDZH181920SB,0
CKEC02BM,0
CKEC02WH,0
CKEC03BM,19
CKEC05BM,37
CKEC05WH,11
CKEC06GD,0
CKEC07GD,11
CKEC08MC,5
CKEC09BS,0
CKEC10BM,8
CKEC11BC,5
CKEC12BM,10
CKEC14RRAP,18
CKEC15BM,10
CKEC16BS,0
CKEC17BL,0
CKEC17GD,17
CKEC21MC,8
CKEC23WO,96
CKEC24MC,114
CKMCBN,0
CKMIBC,0
CKMIBY,5
CKMIYB,0
CKRODCSN,0
CKRODWRE,76
CKSQDWBM,0
CKSQDWGY,0
CKSQDWLG,0
CKSQDWRE,0
CKSQDWYE,0
CKTBACBMOW,0
CKTBALBMOW,0
CKTBAMBMOW,0
CKTBAMBMSW,0
CKTBDBBM,29
CKTBDCBL,0
CKTBDCGR,0
CKTBDCRE,0
CKTBDGBL,0
CKTBDRLBM,0
CKTBDRSBM,0
CKTBDWBM,8
CKTBDWBT,0
CKTBDWPI,0
CKTBDWRE,0
CKTBHCRROW,0
CKTBLBCO,0
CKTBLBFG,0
CKTBLBGB,0
CKTBLBRO,0
CKTBLSCH,0
CKTCBC,27
CKTCBY,32
CKTCFG,21
CKVOBC,18
CKVOBY,32
CKVOFG,13
CKVORC,0
CKVOSW,48
CL2BBL,0
CL2BBT,0
CL2BGY,0
CL2BRE,0
CL2BYE,0
CL2RAG,68
CL2RAG5PK,30
CL2RAGAPK,6
CL2RBD,552
CL2RBD5PK,110
CL2RBDAPK,39
CL2RBK,50
CL2RBK2PK,25
CL2RBK3PK,16
CL2RBK4PK,12
CL2RBK5PK,20
CL2RBKAPK,37
CL2RBKSPK,0
CL2RBL,416
CL2RBL5PK,83
CL2RBLAPK,18
