staff_name,department,store,shopify_product_id,shopify_product_gid,product_title,product_handle,product_url,product_status,variant_count,variant_ids,variant_gids,skus,collection_count,collection_ids,collection_handles,collection_titles,collection_urls,ownership_method,primary_source,source_updated_at,extracted_at,included_in_current_sales_scope,exclusion_reason
Kamsi,SEO,ledsone.co.uk,4417261535328,gid://shopify/Product/4417261535328,25W,,,ACTIVE,2,MISSING_FROM_DB,MISSING_FROM_DB,12MIP2015|12MIP2025,1,158111006816,dc-12v-transformer,DC 12V Transformer,https://ledsone.co.uk/collections/dc-12v-transformer,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:31,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417261666400,gid://shopify/Product/4417261666400,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,12SAN35,2,158110711904|158111006816,constant-voltage-transformer|dc-12v-transformer,Constant Voltage Transformer|DC 12V Transformer,https://ledsone.co.uk/collections/constant-voltage-transformer|https://ledsone.co.uk/collections/dc-12v-transformer,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417261731936,gid://shopify/Product/4417261731936,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,12SAN60,2,158110711904|158111006816,constant-voltage-transformer|dc-12v-transformer,Constant Voltage Transformer|DC 12V Transformer,https://ledsone.co.uk/collections/constant-voltage-transformer|https://ledsone.co.uk/collections/dc-12v-transformer,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417262256224,gid://shopify/Product/4417262256224,5m,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL2RGD|CL2RGD5PK|CL2RGDAPK,1,158037639264,2core-round,2 Core Round Cable,https://ledsone.co.uk/collections/2core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:34,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417262452832,gid://shopify/Product/4417262452832,Pack10,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL2RRO|CL2RRO5PK|CL2RROAPK,1,158037639264,2core-round,2 Core Round Cable,https://ledsone.co.uk/collections/2core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:34,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417262518368,gid://shopify/Product/4417262518368,5m,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL2RGL|CL2RGL5PK|CL2RGLAPK,1,158037639264,2core-round,2 Core Round Cable,https://ledsone.co.uk/collections/2core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:34,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417262551136,gid://shopify/Product/4417262551136,5m,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL2RBM|CL2RBM5PK|CL2RBMAPK,1,158037639264,2core-round,2 Core Round Cable,https://ledsone.co.uk/collections/2core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:34,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417262649440,gid://shopify/Product/4417262649440,5m,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL2RWH|CL2RWH5PK|CL2RWHAPK,1,158037639264,2core-round,2 Core Round Cable,https://ledsone.co.uk/collections/2core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:38,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417262780512,gid://shopify/Product/4417262780512,G95 8W,,,ACTIVE,2,MISSING_FROM_DB,MISSING_FROM_DB,LDMG125E278|LDMG95E278,2,159254904928|159254806624,led-bulbs|vintage-bulbs,LED Bulbs - Energy-Saving Lights|Vintage LED Light Bulbs,https://ledsone.co.uk/collections/led-bulbs|https://ledsone.co.uk/collections/vintage-bulbs,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417263239264,gid://shopify/Product/4417263239264,5m,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL2RRS|CL2RRS5PK|CL2RRSAPK,1,158037639264,2core-round,2 Core Round Cable,https://ledsone.co.uk/collections/2core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:39,2026-07-14T09:12:19.913Z,true,
