staff_name,store,shopify_product_id,product_title,product_handle
Dilaksi,ledsone.co.uk,14958851326338,Industrial Wall Sconce Adjustable Arm Vintage Metal Wall Light E27~6012,vintage-industrial-e27-metal-wall-sconce-wall-mounted-light
Dilaksi,ledsone.co.uk,5360689283233,Industrial Ribbed Amber Glass Wall Light Adjustable Brass E27 Fitting~2118,industrial-retro-ribbed-glass-wall-lights-adjustable-arm-glass-wall-light
Dilaksi,ledsone.co.uk,4417294893152,Industrial Wall Lights with Cage Shade Retro Wall Lamp ~2839,wire-cage-wall-lighting
Dilaksi,ledsone.co.uk,7630664532218,Vintage Copper Industrial Wall Light | Swan Neck Dome Sconce for Living Room ~3678,vintage-retro-industrial-copper-colour-metal-lampshade-sconce-wall-lights-uk-holder
Dilaksi,ledsone.co.uk,14959094563202,Industrial Wall Light Metal Wire cage E27 Wall Sconce Fitting ~6016,industrial-wall-light-metal-wire-cage-e27-wall-sconce-fitting-6016
Dilaksi,ledsone.co.uk,6052094935201,Modern Industrial Wall Lights Sleek Metal Design ~1658,indoor-wall-fitting-lounge-light-fittings
Dilaksi,ledsone.co.uk,4484056678496,fancy wall lights for living room~2698,details-about-industrial-retro-vintage-style-adjustable-glass-wall-light-sconce-lamp-fitting
Dilaksi,ledsone.co.uk,8645782274298,Industrial Metal Rustic Twin Waterpipe Wall Light ~5534,industrial-metal-rustic-twin-waterpipe-wall-light
Dilaksi,ledsone.co.uk,4506283442272,Industrial Wall Lights Fittings Adjustable Wall Lamps for Rooms ~2552,wall-light-copper-mounted-modern-industrial-shade-sconce-adjust-lamps
Dilaksi,ledsone.co.uk,5238217769121,Industrial Pulley Wheel Wall Light Wood and Iron Cage Sconce E27~2231,wall-lamp-retro-wheel-light-rustic-vintage-pipe-industrial-steampunk-lighting
Dilaksi,ledsone.co.uk,8005846204666,Adjustable Hemp Rope Swan Neck Wall Lamp | Industrial Vintage Sconce ~4550,vintage-hemp-rope-e27-base-swan-neck-wall-light-4550
Dilaksi,ledsone.co.uk,5244462203041,Antique Brass Adjustable Wall Light ~2214,modern-grey-colour-creative-personality-metal-wall-light-lamp-shades
Dilaksi,ledsone.co.uk,6542267646113,Indoor Retro Sconce Wall Light Fitting Fixture ~1616,indoor-retro-sconce-wall-light-fitting-fixture
Dilaksi,ledsone.co.uk,4590505033824,Vintage Plug-In Wall Light Black Sconce E27 Lamp~2271,vintage-retro-modern-plug-in-wall-sconces
Dilaksi,ledsone.co.uk,4484056449120,Adjustable Amber Glass Wall Light Fitting~2699,bedside-glass-wall-light
Dilaksi,ledsone.co.uk,4417271267424,Black Wall Lights Wall Mounted Lamps & Sconces UK ~3150,wall-sconces-light-black-industrial-vintage-simplicity-lamp
Dilaksi,ledsone.co.uk,14900890435970,Vintage Industrial Wall Sconces Metal E27 Indoor Lamp Dome ~ 5705,vintage-industrial-wall-light-retro-e27-sconce-fixture-5705
Dilaksi,ledsone.co.uk,8160579059962,"Vintage Industrial Wall Sconce Adjustable Arm, Cone Shade E27 Lamp ~5296",metal-cone-shape-shade-plug-in-wall-light-with-dimmer-switch
Dilaksi,ledsone.co.uk,8100579639546,Industrial Plug-in Wall Light Adjustable Arm Cone Shade Dimmer Switch ~5109,industrial-3-pin-plug-in-wall-light-cone-shade-dimmer-switch
Dilaksi,ledsone.co.uk,7429687967994,Vintage Indoor Wall Lights Wall Sconce Lighting ~1123,metal-light-fixture
Dilaksi,ledsone.co.uk,4417290240096,Industrial Water Pipe Wall Light 3-Way Steampunk Iron Metal Fitting ~2890,unusual-contemporary-wall-lights
